"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
"1",1,60,"RL",0.65,84.5,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","GLQ",7.06,"Unf",0,1.5,8.56,"GasA","Ex","Y","SBrkr",856,854,0,17.1,1,0,2,1,3,1,"Gd",8,"Typ",0,"None","Attchd",2003,"RFn",2,5.48,"TA","TA","Y",0,0.61,0,0,0,0,"None","None","None",0,2,2008,"WD","Normal",208500
"2",2,20,"RL",0.8,96,"Pave","None","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","ALQ",9.78,"Unf",0,2.84,12.62,"GasA","Ex","Y","SBrkr",1262,0,0,12.62,0,1,2,0,3,1,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,4.6,"TA","TA","Y",2.98,0,0,0,0,0,"None","None","None",0,5,2007,"WD","Normal",181500
"3",3,60,"RL",0.68,112.5,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","GLQ",4.86,"Unf",0,4.34,9.2,"GasA","Ex","Y","SBrkr",920,866,0,17.86,1,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,6.08,"TA","TA","Y",0,0.42,0,0,0,0,"None","None","None",0,9,2008,"WD","Normal",223500
"6",6,50,"RL",0.85,141.15,"Pave","None","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","GLQ",7.32,"Unf",0,0.64,7.96,"GasA","Ex","Y","SBrkr",796,566,0,13.62,1,0,1,1,1,1,"TA",5,"Typ",0,"None","Attchd",1993,"Unf",2,4.8,"TA","TA","Y",0.4,0.3,0,320,0,0,"None","MnPrv","Shed",700,10,2009,"WD","Normal",143000
"8",8,60,"RL",0.69,103.82,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","ALQ",8.59,"BLQ",0.32,2.16,11.07,"GasA","Ex","Y","SBrkr",1107,983,0,20.9,1,0,2,1,3,1,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,4.84,"TA","TA","Y",2.35,2.04,2.28,0,0,0,"None","None","Shed",350,11,2009,"WD","Normal",200000
"10",10,190,"RL",0.5,74.2,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","GLQ",8.51,"Unf",0,1.4,9.91,"GasA","Ex","Y","SBrkr",1077,0,0,10.77,1,0,1,0,2,2,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,2.05,"Gd","TA","Y",0,0.04,0,0,0,0,"None","None","None",0,1,2008,"WD","Normal",118000
"11",11,20,"RL",0.7,112,"Pave","None","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",9.06,"Unf",0,1.34,10.4,"GasA","Ex","Y","SBrkr",1040,0,0,10.4,1,0,1,0,3,1,"TA",5,"Typ",0,"None","Detchd",1965,"Unf",1,3.84,"TA","TA","Y",0,0,0,0,0,0,"None","None","None",0,2,2008,"WD","Normal",129500
"13",13,20,"RL",0.69,129.68,"Pave","None","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",7.37,"Unf",0,1.75,9.12,"GasA","TA","Y","SBrkr",912,0,0,9.12,1,0,1,0,2,1,"TA",4,"Typ",0,"None","Detchd",1962,"Unf",1,3.52,"TA","TA","Y",1.4,0,0,0,1.76,0,"None","None","None",0,9,2008,"WD","Normal",144000
"15",15,20,"RL",0.69,109.2,"Pave","None","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",7.33,"Unf",0,5.2,12.53,"GasA","TA","Y","SBrkr",1253,0,0,12.53,1,0,1,1,2,1,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,3.52,"TA","TA","Y",0,2.13,1.76,0,0,0,"None","GdWo","None",0,5,2008,"WD","Normal",157000
"16",16,45,"RM",0.51,61.2,"Pave","None","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,8.32,8.32,"GasA","Ex","Y","FuseA",854,0,0,8.54,0,0,1,0,2,1,"TA",5,"Typ",0,"None","Detchd",1991,"Unf",2,5.76,"TA","TA","Y",0.48,1.12,0,0,0,0,"None","GdPrv","None",0,7,2007,"WD","Normal",132000
